r,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH0,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4
0,0.9592845137529232,1.7674235140693917,0.721103326330943,0.7666261594703189,2.593822257120291,0.7841704245591223,0.640386504282815,0.9275966973525855,2.269058062078902,0.9802280939076006,0.6254247190777005,1.6806912019405258,0.6739241889719477,1.0752988346718235,1.0372403559728338,2.105812807109696,2.5112014013751742,1.3316277776748187,1.0776237867122942,2.740613638618936
1,0.9833630422569462,1.7028089042284953,0.7366339205474045,0.781743199268127,2.6874169566611714,0.8556525786491701,0.6041989496530896,0.9716819016864523,2.2658300177770867,1.1266729156297552,0.7524112490336428,1.8939019968212056,0.6907199912607793,1.1754127300708526,1.1918298773633138,2.1359732576418957,2.551226937516539,1.464676566293995,1.2339550889416464,2.7661203449559255
2,0.9101362325349155,1.7424584247836614,0.7071003154638084,0.7376451948775451,2.570653365828963,0.7485881876246742,0.5235061438111851,0.894635339167181,2.248653307847136,0.9230984963475408,0.49542564579372306,1.6506249203023469,0.6744901929344251,1.0495769841452254,0.9833730703834836,2.0711471794853473,2.4728887509135498,1.2931225588551125,1.039437221898591,2.6927756202810804
3,0.9905675521517566,1.7033367370723977,0.7273444070739404,0.7613852770232008,2.675976116161736,0.8460740770510021,0.5614062953795546,0.9716891865050714,2.2363501225397484,1.2607225526096946,0.8127459305687514,1.9031380985863673,0.7046109325141803,1.1974455521722125,1.1855145284024842,2.1274813796147525,2.531347955512285,1.4511228098703057,1.212516370835687,2.7673603477093467
4,0.9974484178930838,1.7792637381913718,0.7182628922594191,0.8134388034021849,2.6435292209434973,0.7979052532474791,0.5749556815346031,0.9591656256364056,2.3372367506762646,1.0238439780321384,0.6216859040357239,1.7159018396510708,0.6454344982168355,1.1218412641951105,1.0642134642285919,2.1382027055370645,2.5897968468463297,1.3616481641515044,1.1482617200374021,2.7512893146856725
5,0.973282791776338,1.765357768517928,0.6815343423201402,0.7557756524273345,2.579651017852908,0.8158896351396151,0.6846713929661665,0.9422542415061346,2.253085498251332,0.9942385883849607,0.6356213748202805,1.6820889227217006,0.6798047336455638,1.070134100293137,1.0556355034174947,2.117781250764143,2.5116726637840823,1.3420914173943752,1.0881542509125335,2.7489834650566127
6,0.9090565121437959,1.6787277727088894,0.7926033821602467,0.730730788015172,2.643987515011414,0.6965309685155749,0.5483959217746983,0.8072057009022194,2.215004830162912,0.8881029585521629,0.4322749303035505,1.7212203418418082,0.6831850390881663,1.0789770544787718,1.0998796802172726,2.066919225324829,2.4592186462301675,1.299929886601875,1.1377631680758267,2.5895851542478043
7,0.9378100186544034,1.733191169855932,0.7323940663102937,0.7070373675076931,2.5608520934183785,0.720018607415433,0.6141533349305135,0.8305212195315909,2.2065946500398868,0.8546400871322922,0.467669722328343,1.5860516504721922,0.7036869240981176,0.9893849622655685,1.0195873979991568,2.0842442547207947,2.460034066872588,1.2351246059743075,1.03055920595928,2.6356534886766707
8,1.0132204772502993,1.7025728451524866,0.7643288775719127,0.8070094940548246,2.7245680924032274,0.8860681636417722,0.6352971826929377,1.037798721082254,2.3028403947108895,1.3374054726573466,0.8361839308437311,1.9708207283966748,0.6753877688739987,1.2637620342407012,1.2079813054726716,2.1557186576949903,2.605917683590368,1.515789017175085,1.2771580624230365,2.8243946930414685
9,0.9078003065189669,1.681818873864176,0.784804998788129,0.7624832464857932,2.660018024835083,0.6925843062178478,0.6172424135301429,0.7908314972331923,2.2580128155156998,0.7550367300592593,0.36391724971904865,1.7045964092404058,0.6660153645619878,1.0812405337802922,1.1072205610336328,2.079556041819865,2.4731257472444015,1.3020286153717873,1.1633674883227136,2.576294875290796
